movie_id,tomatometer,audience_score
2150,85%,84%
2152,21%,38%
2153,91%,91%
2158,,22%
2155,81%,68%
2154,50%,66%
2159,87%,71%
2161,80%,81%
2160,96%,87%
2166,,0%
2164,20%,31%
2165,77%,64%
2167,,87%
2163,27%,42%
2168,51%,67%
2169,15%,55%
2171,75%,74%
2170,21%,57%
2181,83%,73%
2176,94%,90%
2177,92%,62%
2179,71%,36%
2174,85%,82%
2178,90%,77%
2180,67%,53%
2187,,
2184,90%,73%
2188,17%,43%
2185,80%,76%
2190,52%,76%
2189,73%,88%
2186,98%,92%
2195,,
2194,82%,89%
2193,51%,79%
2192,100%,72%
2198,33%,79%
2197,50%,83%
2200,,
2196,8%,25%
2201,83%,48%
2207,,
2206,,
2202,92%,87%
2204,81%,71%
2215,70%,31%
2213,50%,6%
2209,100%,62%
2218,27%,10%
2221,,
2224,89%,57%
2226,71%,48%
2220,92%,46%
2229,,
2232,63%,76%
2233,43%,73%
2236,44%,77%
2235,38%,63%
2244,0%,38%
2243,98%,79%
2240,84%,69%
2242,,36%
2237,79%,91%
2241,29%,50%
2245,84%,67%
2246,,39%
2248,98%,85%
2247,89%,48%
2249,71%,59%
2250,81%,62%
2252,95%,87%
2254,,
2253,30%,39%
2255,27%,37%
2256,,
2258,,
2261,59%,63%
2260,,49%
2257,57%,34%
2259,8%,39%
2263,15%,49%
2265,,45%
2267,57%,35%
2262,61%,59%
2266,25%,29%
2269,35%,47%
2271,58%,54%
2275,60%,77%
2277,,43%
2273,61%,78%
2272,89%,71%
2278,68%,80%
2279,21%,37%
2281,90%,67%
2274,,33%
2282,52%,64%
2285,91%,87%
2280,62%,67%
2283,50%,79%
2284,100%,83%
2286,17%,45%
2288,34%,42%
2290,68%,78%
2291,90%,91%
2289,98%,84%
2295,,
2293,50%,65%
2292,43%,52%
2294,92%,52%
2298,6%,64%
2297,54%,84%
2299,85%,71%
2305,61%,84%
2301,58%,81%
2302,86%,87%
2304,68%,62%
2307,24%,21%
2303,90%,84%
2306,12%,24%
2308,25%,49%
2310,75%,79%
2312,82%,79%
2314,,
2313,,83%
2319,38%,46%
2318,,
2316,22%,73%
2320,53%,56%
2321,85%,79%
2311,66%,61%
2323,86%,88%
2322,,
2329,83%,96%
2328,,
2326,25%,20%
2331,59%,63%
2332,16%,87%
2330,84%,92%
2327,43%,44%
2325,48%,66%
2333,95%,83%
2334,,
2335,34%,71%
2338,7%,29%
2337,58%,80%
2342,69%,89%
2341,64%,58%
2345,64%,69%
2344,85%,76%
2340,45%,81%
2347,90%,73%
2346,26%,30%
2349,97%,81%
2350,0%,34%
2343,20%,34%
2348,88%,76%
2353,72%,78%
2352,68%,77%
2356,,
2354,59%,50%
2358,56%,80%
2366,84%,50%
2361,81%,72%
2362,35%,33%
2368,0%,17%
2371,77%,81%
2369,83%,62%
2370,81%,79%
2373,,
2372,37%,54%
2377,58%,45%
2378,54%,64%
2374,,49%
2375,48%,58%
2379,31%,42%
2380,40%,39%
2381,0%,38%
2384,65%,41%
2383,0%,28%
2385,31%,33%
2387,41%,58%
2382,0%,33%
2390,79%,74%
2393,54%,44%
2392,,
2397,,81%
2394,80%,76%
2399,20%,66%
2396,92%,80%
2395,89%,91%
2400,67%,58%
2401,93%,83%
2402,35%,60%
2407,79%,60%
2406,85%,69%
2404,39%,45%
2405,48%,37%
2408,33%,35%
2409,71%,82%
2410,63%,74%
2412,31%,31%
2414,64%,63%
2411,40%,79%
2413,65%,86%
2415,57%,26%
2416,86%,68%
2417,45%,47%
2418,57%,40%
